stat_name,stat_description,stat_description_full
AI0503,"Zweitstimmenanteil FDP, Bundestagswahl","**Zweitstimmenanteil FDP, Bundestagswahl**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Anteil der Stimmen für die FDP an den gültigen Zweitstimmen insgesamt bei der BundestagswahlIndikatorberechnungFür die Berechnung des Indikators 'Anteil der Stimmen für die FDP an den gültigen Zweitstimmen insgesamt' werden die Zweitstimmen für die FDP durch die gültigen Zweitstimmen insgesamt dividiert und mit 100 multipliziert.HerkunftsstatistikenDer Indikator beruht auf Daten der Allgemeinen Bundestagswahlstatistik.MerkmalsbeschreibungenWahlberechtigteWahlberechtigt sind alle Deutschen, die am Wahltag a) das 18. Lebensjahr vollendet haben, b) seit mindestens drei Monaten in der Bundesrepublik Deutschland eine Wohnung innehaben oder sich sonst gewöhnlich aufhalten, c) nicht vom Wahlrecht ausgeschlossen sind, d) in Gebieten außerhalb des Wahlgebietes leben, wenn bei ihnen neben den Voraussetzungen unter a) und c) noch bestimmte weitere Voraussetzungen erfüllt sind. Im Einzelnen ergibt sich die Wahlberechtigung aus dem § 12 BWG.Regionale BesonderheitenBaden-WürttembergFDP/DVP.Sachsen (2005)Einschl. Ergebnis der Nachwahl des Wahlkreises 160 Dresden I am 02.10.2005.Sachsen-AnhaltWegen der Kreisgebietsreform zum 1. Juli 2007 sind i.d.R. Ergebnisse ab 2006 dargestellt.Thüringen (1994)Ergebnisse des Ortsteils Cunsdorf sind aufgrund von Gebietsänderungen sowohl im Vogtlandkreis (Sachsen) als auch im Landkreis Greiz (Thüringen) enthalten; Ergebnisse der kreisfreien Stadt Eisenach sind im Wartburgkreis enthalten.Weiterführende InformationenAllgemeine Wahlstatistik für BundestagswahlenRegionaldatenbank: Themenbereiche"
AI0504,"Zweitstimmenanteil GRÜNE, Bundestagswahl","**Zweitstimmenanteil GRÜNE, Bundestagswahl**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Anteil der Stimmen für die GRÜNEN an den gültigen Zweitstimmen insgesamt bei der BundestagswahlIndikatorberechnungFür die Berechnung des Indikators 'Anteil der Stimmen für die GRÜNE an den gültigen Zweitstimmen insgesamt' werden die Zweitstimmen für die GRÜNE durch die gültigen Zweitstimmen insgesamt dividiert und mit 100 multipliziert.HerkunftsstatistikDer Indikator beruht auf Daten der Allgemeinen Bundestagswahlstatistik.MerkmalsbeschreibungenWahlberechtigteWahlberechtigt sind alle Deutschen, die am Wahltag a) das 18. Lebensjahr vollendet haben, b) seit mindestens drei Monaten in der Bundesrepublik Deutschland eine Wohnung innehaben oder sich sonst gewöhnlich aufhalten, c) nicht vom Wahlrecht ausgeschlossen sind, d) in Gebieten außerhalb des Wahlgebietes leben, wenn bei ihnen neben den Voraussetzungen unter a) und c) noch bestimmte weitere Voraussetzungen erfüllt sind. Im Einzelnen ergibt sich die Wahlberechtigung aus dem § 12 BWG.Regionale BesonderheitenSachsen (2005)Einschl. Ergebnis der Nachwahl des Wahlkreises 160 Dresden I am 02.10.2005.Thüringen (1994)Ergebnisse des Ortsteils Cunsdorf sind aufgrund von Gebietsänderungen sowohl im Vogtlandkreis (Sachsen) als auch im Landkreis Greiz (Thüringen) enthalten; Ergebnisse der kreisfreien Stadt Eisenach sind im Wartburgkreis enthalten.Weiterführende InformationenAllgemeine Wahlstatistik für BundestagswahlenRegionaldatenbank: Themenbereiche"
AI0505,"Zweitstimmenanteil DIE LINKE, Bundestagswahl","**Zweitstimmenanteil DIE LINKE, Bundestagswahl**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Anteil der Stimmen für DIE LINKE an den gültigen Zweitstimmen insgesamt bei der BundestagswahlIndikatorberechnungFür die Berechnung des Indikators 'Anteil der Stimmen für DIE LINKE an den gültigen Zweitstimmen insgesamt' werden die Zweitstimmen für DIE LINKE durch die gültigen Zweitstimmen insgesamt dividiert und mit 100 multipliziert.HerkunftsstatistikenDer Indikator beruht auf Daten der Allgemeinen Bundestagswahlstatistik.MerkmalsbeschreibungenWahlberechtigteWahlberechtigt sind alle Deutschen, die am Wahltag a) das 18. Lebensjahr vollendet haben, b) seit mindestens drei Monaten in der Bundesrepublik Deutschland eine Wohnung innehaben oder sich sonst gewöhnlich aufhalten, c) nicht vom Wahlrecht ausgeschlossen sind, d) in Gebieten außerhalb des Wahlgebietes leben, wenn bei ihnen neben den Voraussetzungen unter a) und c) noch bestimmte weitere Voraussetzungen erfüllt sind. Im Einzelnen ergibt sich die Wahlberechtigung aus dem § 12 BWG.Regionale BesonderheitenUnter der Parteibezeichnung 'DIE LINKE' wurde bis 16.07.2005 die Partei 'PDS' und vom 17.07.2005 bis einschließlich 15.06.2007 die Partei 'Die Linke.' nachgewiesen.Sachsen (2005)Einschl. Ergebnis der Nachwahl des Wahlkreises 160 Dresden I am 02.10.2005.Thüringen (1994)Ergebnisse des Ortsteils Cunsdorf sind aufgrund von Gebietsänderungen sowohl im Vogtlandkreis (Sachsen) als auch im Landkreis Greiz (Thüringen) enthalten; Ergebnisse der kreisfreien Stadt Eisenach sind im Wartburgkreis enthalten.Weiterführende InformationenAllgemeine Wahlstatistik für BundestagswahlenRegionaldatenbank: Themenbereiche"
AI0506,"Wahlbeteiligung, Bundestagswahl","**Wahlbeteiligung, Bundestagswahl**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Anteil der Wähler an den Wahlberechtigten bei der BundestagswahlIndikatorberechnungFür die Berechnung des Indikators 'Anteil der Wähler an den Wahlberechtigten' werden die abgegebenen gültigen und ungültigen Stimmen durch die Wahlberechtigten insgesamt dividiert und mit 100 multipliziert.HerkunftsstatistikDer Indikator beruht auf Daten der Allgemeinen Bundestagswahlstatistik.MerkmalsbeschreibungenWahlberechtigteWahlberechtigt sind alle Deutschen, die am Wahltag a) das 18. Lebensjahr vollendet haben, b) seit mindestens drei Monaten in der Bundesrepublik Deutschland eine Wohnung innehaben oder sich sonst gewöhnlich aufhalten, c) nicht vom Wahlrecht ausgeschlossen sind, d) in Gebieten außerhalb des Wahlgebietes leben, wenn bei ihnen neben den Voraussetzungen unter a) und c) noch bestimmte weitere Voraussetzungen erfüllt sind. Im Einzelnen ergibt sich die Wahlberechtigung aus dem § 12 BWG.Regionale BesonderheitenBrandenburg (1994, 1998)Briefwahlergebnisse nur im Landesergebnis enthalten.Sachsen (2005)Einschl. Ergebnis der Nachwahl des Wahlkreises 160 Dresden I am 02.10.2005.Thüringen (1994)Ergebnisse des Ortsteils Cunsdorf sind aufgrund von Gebietsänderungen sowohl im Vogtlandkreis (Sachsen) als auch im Landkreis Greiz (Thüringen) enthalten; Ergebnisse der kreisfreien Stadt Eisenach sind im Wartburgkreis enthalten.Weiterführende InformationenAllgemeine Wahlstatistik für BundestagswahlenRegionaldatenbank: Themenbereiche"
AI0601,"Stimmenanteil CDU/CSU, Europawahl","**Stimmenanteil CDU/CSU, Europawahl**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Anteil der Stimmen für die CDU/CSU an den gültigen Stimmen insgesamt bei der EuropawahlIndikatorberechnungFür die Berechnung des Indikators 'Anteil der Stimmen für die CDU/CSU an den gültigen Stimmen insgesamt' werden die Stimmen für die CDU/CSU durch die gültigen Stimmen insgesamt dividiert und mit 100 multipliziert.HerkunftsstatistikDer Indikator beruht auf Daten der Allgemeinen Europawahlstatistik.MerkmalsbeschreibungenWahlberechtigteWahlberechtigt sind alle Deutschen sowie alle Unionsbürger mit einer Wohnung oder mit gewöhnlichem Aufenthalt in der Bundesrepublik Deutschland, die am Wahltag das 18. Lebensjahr vollendet haben, seit mindestens drei Monaten in der Bundesrepublik Deutschland oder in den Gebieten der übrigen Mitgliedstaaten der Europäischen Gemeinschaft eine Wohnung innehaben oder sich gewöhnlich aufhalten und nicht vom Wahlrecht ausgeschlossen sind. Außerdem sind auch die nach § 12 Abs. 2 des Bundeswahlgesetzes zum Deutschen Bundestag wahlberechtigten Deutschen wahlberechtigt. Im Einzelnen ergibt sich die Wahlberechtigung aus dem § 6 EuWG.Regionale BesonderheitenCSU nur in Bayern.Weiterführende InformationenAllgemeine Wahlstatistik für EuropawahlenRegionaldatenbank: Themenbereiche"
AI0602,"Stimmenanteil SPD, Europawahl","**Stimmenanteil SPD, Europawahl**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Anteil der Stimmen für die SPD an den gültigen Stimmen insgesamt bei der EuropawahlIndikatorberechnungFür die Berechnung des Indikators 'Anteil der Stimmen für die SPD an den gültigen Stimmen insgesamt' werden die Stimmen für die SPD durch die gültigen Stimmen insgesamt dividiert und mit 100 multipliziert.HerkunftsstatistikDer Indikator beruht auf Daten der Allgemeinen Europawahlstatistik.MerkmalsbeschreibungenWahlberechtigteWahlberechtigt sind alle Deutschen sowie alle Unionsbürger mit einer Wohnung oder mit gewöhnlichem Aufenthalt in der Bundesrepublik Deutschland, die am Wahltag das 18. Lebensjahr vollendet haben, seit mindestens drei Monaten in der Bundesrepublik Deutschland oder in den Gebieten der übrigen Mitgliedstaaten der Europäischen Gemeinschaft eine Wohnung innehaben oder sich gewöhnlich aufhalten und nicht vom Wahlrecht ausgeschlossen sind. Außerdem sind auch die nach § 12 Abs. 2 des Bundeswahlgesetzes zum Deutschen Bundestag wahlberechtigten Deutschen wahlberechtigt. Im Einzelnen ergibt sich die Wahlberechtigung aus dem § 6 EuWG.Weiterführende InformationenAllgemeine Wahlstatistik für EuropawahlenRegionaldatenbank: Themenbereiche"
AI0603,"Stimmenanteil FDP, Europawahl","**Stimmenanteil FDP, Europawahl**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Anteil der Stimmen für die FDP an den gültigen Stimmen insgesamt bei der EuropawahlIndikatorberechnungFür die Berechnung des Indikators 'Anteil der Stimmen für die FDP an den gültigen Stimmen insgesamt' werden die Stimmen für die FDP durch die gültigen Stimmen insgesamt dividiert und mit 100 multipliziert.HerkunftsstatistikDer Indikator beruht auf Daten der Allgemeinen Europawahlstatistik.MerkmalsbeschreibungenWahlberechtigteWahlberechtigt sind alle Deutschen sowie alle Unionsbürger mit einer Wohnung oder mit gewöhnlichem Aufenthalt in der Bundesrepublik Deutschland, die am Wahltag das 18. Lebensjahr vollendet haben, seit mindestens drei Monaten in der Bundesrepublik Deutschland oder in den Gebieten der übrigen Mitgliedstaaten der Europäischen Gemeinschaft eine Wohnung innehaben oder sich gewöhnlich aufhalten und nicht vom Wahlrecht ausgeschlossen sind. Außerdem sind auch die nach § 12 Abs. 2 des Bundeswahlgesetzes zum Deutschen Bundestag wahlberechtigten Deutschen wahlberechtigt. Im Einzelnen ergibt sich die Wahlberechtigung aus dem § 6 EuWG.Regionale BesonderheitenBaden-WürttembergFDP/DVPWeiterführende InformationenAllgemeine Wahlstatistik für EuropawahlenRegionaldatenbank: Themenbereiche"
AI0604,"Stimmenanteil GRÜNE, Europawahl","**Stimmenanteil GRÜNE, Europawahl**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Anteil der Stimmen für die GRÜNEN an den gültigen Stimmen insgesamt bei der EuropawahlIndikatorberechnungFür die Berechnung des Indikators 'Anteil der Stimmen für die GRÜNEN an den gültigen Stimmen insgesamt' werden die Stimmen für die GRÜNEN durch die gültigen Stimmen insgesamt dividiert und mit 100 multipliziert.HerkunftsstatistikDer Indikator beruht auf Daten der Allgemeinen Europawahlstatistik.MerkmalsbeschreibungenWahlberechtigteWahlberechtigt sind alle Deutschen sowie alle Unionsbürger mit einer Wohnung oder mit gewöhnlichem Aufenthalt in der Bundesrepublik Deutschland, die am Wahltag das 18. Lebensjahr vollendet haben, seit mindestens drei Monaten in der Bundesrepublik Deutschland oder in den Gebieten der übrigen Mitgliedstaaten der Europäischen Gemeinschaft eine Wohnung innehaben oder sich gewöhnlich aufhalten und nicht vom Wahlrecht ausgeschlossen sind. Außerdem sind auch die nach § 12 Abs. 2 des Bundeswahlgesetzes zum Deutschen Bundestag wahlberechtigten Deutschen wahlberechtigt. Im Einzelnen ergibt sich die Wahlberechtigung aus dem § 6 EuWG.Weiterführende InformationenAllgemeine Wahlstatistik für EuropawahlenRegionaldatenbank: Themenbereiche"
AI0605,"Stimmenanteil DIE LINKE, Europawahl","**Stimmenanteil DIE LINKE, Europawahl**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Anteil der Stimmen für DIE LINKE an den gültigen Stimmen insgesamt bei der EuropawahlIndikatorberechnungFür die Berechnung des Indikators 'Anteil der Stimmen für DIE LINKE an den gültigen Stimmen insgesamt' werden die Stimmen für DIE LINKE durch die gültigen Stimmen insgesamt dividiert und mit 100 multipliziert.HerkunftsstatistikDer Indikator beruht auf Daten der Allgemeinen Europawahlstatistik.MerkmalsbeschreibungenWahlberechtigteWahlberechtigt sind alle Deutschen sowie alle Unionsbürger mit einer Wohnung oder mit gewöhnlichem Aufenthalt in der Bundesrepublik Deutschland, die am Wahltag das 18. Lebensjahr vollendet haben, seit mindestens drei Monaten in der Bundesrepublik Deutschland oder in den Gebieten der übrigen Mitgliedstaaten der Europäischen Gemeinschaft eine Wohnung innehaben oder sich gewöhnlich aufhalten und nicht vom Wahlrecht ausgeschlossen sind. Außerdem sind auch die nach § 12 Abs. 2 des Bundeswahlgesetzes zum Deutschen Bundestag wahlberechtigten Deutschen wahlberechtigt. Im Einzelnen ergibt sich die Wahlberechtigung aus dem § 6 EuWG.Regionale BesonderheitenUnter der Parteibezeichnung 'DIE LINKE' wurde bis 16.07.2005 die Partei 'PDS' und vom 17.07.2005 bis einschließlich 15.06.2007 die Partei 'Die Linke' nachgewiesen.Weiterführende InformationenAllgemeine Wahlstatistik für EuropawahlenRegionaldatenbank: Themenbereiche"
AI0606,"Wahlbeteiligung, Europawahl","**Wahlbeteiligung, Europawahl**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Anteil der Wähler an den Wahlberechtigten bei der EuropawahlIndikatorberechnungFür die Berechnung des Indikators 'Anteil der Wähler an den Wahlberechtigten' werden die abgegebenen gültigen und ungültigen Stimmen durch die Wahlberechtigten insgesamt dividiert und mit 100 multipliziert.HerkunftsstatistikDer Indikator beruht auf Daten der Allgemeinen Europawahlstatistik.MerkmalsbeschreibungenWahlberechtigteWahlberechtigt sind alle Deutschen sowie alle Unionsbürger mit einer Wohnung oder mit gewöhnlichem Aufenthalt in der Bundesrepublik Deutschland, die am Wahltag das 18. Lebensjahr vollendet haben, seit mindestens drei Monaten in der Bundesrepublik Deutschland oder in den Gebieten der übrigen Mitgliedstaaten der Europäischen Gemeinschaft eine Wohnung innehaben oder sich gewöhnlich aufhalten und nicht vom Wahlrecht ausgeschlossen sind. Außerdem sind auch die nach § 12 Abs. 2 des Bundeswahlgesetzes zum Deutschen Bundestag wahlberechtigten Deutschen wahlberechtigt. Im Einzelnen ergibt sich die Wahlberechtigung aus dem § 6 EuWG.Weiterführende InformationenAllgemeine Wahlstatistik für EuropawahlenRegionaldatenbank: Themenbereiche"
AI0701,Arbeitsplatzdichte,"**Arbeitsplatzdichte**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Erwerbstätige insgesamt (am Arbeitsort) je 1.000 Einwohner im erwerbsfähigen Alter von 15 bis 64 Jahren im Jahresdurchschnitt (Arbeitsplatzdichte)AussageDer Indikator gibt Auskunft über das relative Arbeitsplatzangebot der Bevölkerung im erwerbsfähigen Alter. Eine hohe Arbeitsplatzdichte lässt auf gute Erwerbschancen der Bevölkerung schließen. In Städten ist die Arbeitsplatzdichte i. d. R. höher als auf dem Land. Ein Teil des städtischen Arbeitskräftebedarfs wird dort gewöhnlich durch Einpendler aus Umlandregionen abgedeckt.IndikatorberechnungFür die Berechnung des Indikators ""Erwerbstätige insgesamt (am Arbeitsort) je 1.000 Einwohner im erwerbsfähigen Alter von 15 bis 64 Jahren"", also der Arbeitsplatzdichte, wird die Zahl der Erwerbstätigen insgesamt (am Arbeitsort) durch die Zahl der Einwohner im erwerbsfähigen Alter von 15 bis 64 Jahren dividiert und mit 1.000 multipliziert.HerkunftsstatistikDer Indikator beruht auf Daten zur Erwerbstätigkeit des Arbeitskreises ""Erwerbstätigenrechnung des Bundes und der Länder"" (Berechnungsstand August 2015) und zur Bevölkerung.MerkmalsbeschreibungenErwerbstätigeDie Darstellung der Erwerbstätigkeit erfolgt als jahresdurchschnittliche Größe nach dem Inlandskonzept (Erwerbstätige am Arbeitsort). Erfasst werden demnach alle Personen, die im jeweiligen Gebiet ihren Wohn- und Arbeitsort haben, zuzüglich der außerhalb dieses Gebietes wohnenden Personen, die als Einpendler in diese Region ihren Arbeitsort erreichen. Zu den Erwerbstätigen zählen alle Personen, die eine auf Erwerb gerichtete Tätigkeit ausüben, unabhängig von der Dauer der tatsächlich geleisteten oder vertragsmäßig zu leistenden Arbeitszeit. Für die Zuordnung als Erwerbstätige ist es unerheblich, ob aus dieser Tätigkeit der überwiegende Lebensunterhalt bestritten wird oder nicht. Im Falle mehrerer Tätigkeiten wird der Erwerbstätige nur einmal gezählt (Personenkonzept). Dabei gehören zu den Erwerbstätigen alle Personen, die als Arbeitnehmer in einem Arbeitsverhältnis stehen (Arbeiter, Angestellte, Beamte, Soldaten und Auszubildende, marginal Beschäftigte - in erster Linie ""ausschließlich geringfügig entlohnte Beschäftigte"" (400-Euro-Jobs), ""geringfügig kurzfristig Beschäftigte"" und ""Beschäftigte in Arbeitsgelegenheiten"" (sog. 1-Euro-Jobs)) sowie Heimarbeiter bzw. Selbstständige (einschl. deren mithelfende Familienangehörige), die ein Gewerbe bzw. eine Landwirtschaft betreiben oder einen freien Beruf ausüben. Nicht zu den Erwerbstätigen rechnen Personen als Verwalter ihres Privatvermögens (z. B. Immobilien, Geldvermögen, Wertpapiere). Grundlage für diese Definition bilden die von der International Labour Organisation (ILO) aufgestellten Normen, die auch in das Europäische System Volkswirtschaftlicher Gesamtrechnungen (ESVG) 1995 eingegangen sind.EinwohnerZu den Einwohnern Deutschlands gehören alle Personen (Deutsche und Ausländer), die im Bundesgebiet ihren ständigen Wohnsitz haben. Nicht zu den Einwohnern zählen jedoch die Angehörigen ausländischer Missionen und Streitkräfte. Für die Berechnung des Indikators Erwerbstätige insgesamt (am Arbeitsort) je 1.000 Einwohner im erwerbsfähigen Alter von 15 bis 64 Jahren im Jahresdurchschnitt  wird die Zahl der Einwohner im Alter von 15 bis 64 Jahren am 31.12. des Berichtsjahres herangezogen. Liegt diese für das letzte Berichtsjahr noch nicht vor, wird die Einwohnerzahl des vorherigen Jahres herangezogen. Die Einwohnerzahlen stammen von den Statistischen Ämtern des Bundes und der Länder.Regionale BesonderheitenDa vom Arbeitskreis Erwerbstätigenrechnung des Bundes und der Länder die Daten regelmäßig gebietsbereinigt veröffentlicht werden, können infolge der Bildung der Region Hannover (2001), der Städteregion Aachen (2009) sowie der Gebietsreformen in Sachsen-Anhalt (2007), Sachsen (2008) und Mecklenburg-Vorpommern (2011) für die Kreisebene für die jeweils vor dem genannten Zeitpunkt liegenden Berichtsjahre keine Werte angezeigt werden.Weiterführende InformationenErwerbstätigeErwerbstätigenrechnungBevölkerungRegionaldatenbank: Themenbereiche"
AI0702,"Anteil Erwerbst. Land- u. Forstwirtsch., Fischerei","**Anteil Erwerbst. Land- u. Forstwirtsch., Fischerei**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Anteil der Erwerbstätigen im Bereich Land- und Forstwirtschaft, Fischerei an den Erwerbstätigen insgesamt im JahresdurchschnittAussageDer Indikator stellt die relative Häufigkeit der Erwerbstätigen des Wirtschaftsbereichs ""Land- und Forstwirtschaft, Fischerei"" im Erwerbsgeschehen dar.IndikatorberechnungFür die Berechnung des Indikators ""Anteil der Erwerbstätigen im Bereich Land- und Forstwirtschaft, Fischerei an den Erwerbstätigen insgesamt"" wird die Zahl der Erwerbstätigen im Bereich Land- und Forstwirtschaft, Fischerei durch die Zahl der Erwerbstätigen insgesamt, also aller Bereiche, dividiert und mit 100 multipliziert.HerkunftsstatistikDer Indikator beruht auf Daten zur Erwerbstätigkeit des Arbeitskreises ""Erwerbstätigenrechnung des Bundes und der Länder"". (Berechnungsstand August 2015)MerkmalsbeschreibungenErwerbstätigeDie Darstellung der Erwerbstätigkeit erfolgt als jahresdurchschnittliche Größe nach dem Inlandskonzept (Erwerbstätige am Arbeitsort). Erfasst werden demnach alle Personen, die im jeweiligen Gebiet ihren Wohn- und Arbeitsort haben, zuzüglich der außerhalb dieses Gebietes wohnenden Personen, die als Einpendler in diese Region ihren Arbeitsort erreichen. Zu den Erwerbstätigen zählen alle Personen, die eine auf Erwerb gerichtete Tätigkeit ausüben, unabhängig von der Dauer der tatsächlich geleisteten oder vertragsmäßig zu leistenden Arbeitszeit. Für die Zuordnung als Erwerbstätige ist es unerheblich, ob aus dieser Tätigkeit der überwiegende Lebensunterhalt bestritten wird oder nicht. Im Falle mehrerer Tätigkeiten wird der Erwerbstätige nur einmal gezählt (Personenkonzept). Dabei gehören zu den Erwerbstätigen alle Personen, die als Arbeitnehmer in einem Arbeitsverhältnis stehen (Arbeiter, Angestellte, Beamte, Soldaten und Auszubildende, marginal Beschäftigte - in erster Linie ""ausschließlich geringfügig entlohnte Beschäftigte"" (400-Euro-Jobs), ""geringfügig kurzfristig Beschäftigte"" und ""Beschäftigte in Arbeitsgelegenheiten"" (sog. 1-Euro-Jobs)) sowie Heimarbeiter bzw. Selbstständige (einschl. deren mithelfende Familienangehörige), die ein Gewerbe bzw. eine Landwirtschaft betreiben oder einen freien Beruf ausüben. Maßgebend für die Zuordnung zum Wirtschaftsbereich (s. u.) ist die zeitlich überwiegende Tätigkeit. Nicht zu den Erwerbstätigen rechnen Personen als Verwalter ihres Privatvermögens (z. B. Immobilien, Geldvermögen, Wertpapiere). Grundlage für diese Definition bilden die von der International Labour Organisation (ILO) aufgestellten Normen, die auch in das Europäische System Volkswirtschaftlicher Gesamtrechnungen (ESVG) 1995 eingegangen sind.Wirtschaftsfachliche Gliederung nach Wirtschaftssektoren und -bereichenDie sektorale Gliederung der Erwerbstätigen erfolgt auf der Grundlage der ""Klassifikation der Wirtschaftszweige, Ausgabe 2008"" (WZ 2008, NACE Rev. 2)Regionale BesonderheitenDa vom Arbeitskreis Erwerbstätigenrechnung des Bundes und der Länder die Daten regelmäßig gebietsbereinigt veröffentlicht werden, können infolge der Bildung der Region Hannover (2001), der Städteregion Aachen (2009) sowie der Gebietsreformen in Sachsen-Anhalt (2007), Sachsen (2008) und Mecklenburg-Vorpommern (2011) für die Kreisebene für die jeweils vor dem genannten Zeitpunkt liegenden Berichtsjahre keine Werte angezeigt werden.Weiterführende InformationenErwerbstätigeErwerbstätigenrechnungÜbersicht WirtschaftszweiggliederungRegionaldatenbank: Themenbereiche"
AI0703,Anteil Erwerbstätige Produzierendes Gewerbe,"**Anteil Erwerbstätige Produzierendes Gewerbe**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Anteil der Erwerbstätigen im Bereich Produzierendes Gewerbe an den Erwerbstätigen insgesamt im JahresdurchschnittAussageDer Indikator stellt die relative Häufigkeit der Erwerbstätigen des Produzierenden Gewerbes im Erwerbsgeschehen dar.IndikatorberechnungFür die Berechnung des Indikators ""Anteil der Erwerbstätigen im Bereich Produzierendes Gewerbe an den Erwerbstätigen insgesamt"" wird die Zahl der Erwerbstätigen im Bereich Produzierendes Gewerbe durch die Zahl der Erwerbstätigen insgesamt, also aller Bereiche, dividiert und mit 100 multipliziert.HerkunftsstatistikDer Indikator beruht auf Daten zur Erwerbstätigkeit des Arbeitskreises ""Erwerbstätigenrechnung des Bundes und der Länder"". (Berechnungsstand August 2015)MerkmalsbeschreibungenErwerbstätigeDie Darstellung der Erwerbstätigkeit erfolgt als jahresdurchschnittliche Größe nach dem Inlandskonzept (Erwerbstätige am Arbeitsort). Erfasst werden demnach alle Personen, die im jeweiligen Gebiet ihren Wohn- und Arbeitsort haben, zuzüglich der außerhalb dieses Gebietes wohnenden Personen, die als Einpendler in diese Region ihren Arbeitsort erreichen. Zu den Erwerbstätigen zählen alle Personen, die eine auf Erwerb gerichtete Tätigkeit ausüben, unabhängig von der Dauer der tatsächlich geleisteten oder vertragsmäßig zu leistenden Arbeitszeit. Für die Zuordnung als Erwerbstätige ist es unerheblich, ob aus dieser Tätigkeit der überwiegende Lebensunterhalt bestritten wird oder nicht. Im Falle mehrerer Tätigkeiten wird der Erwerbstätige nur einmal gezählt (Personenkonzept). Dabei gehören zu den Erwerbstätigen alle Personen, die als Arbeitnehmer in einem Arbeitsverhältnis stehen (Arbeiter, Angestellte, Beamte, Soldaten und Auszubildende, marginal Beschäftigte - in erster Linie ""ausschließlich geringfügig entlohnte Beschäftigte"" (400-Euro-Jobs), ""geringfügig kurzfristig Beschäftigte"" und ""Beschäftigte in Arbeitsgelegenheiten"" (sog. 1-Euro-Jobs)) sowie Heimarbeiter bzw. Selbstständige (einschl. deren mithelfende Familienangehörige), die ein Gewerbe bzw. eine Landwirtschaft betreiben oder einen freien Beruf ausüben. Maßgebend für die Zuordnung zum Wirtschaftsbereich (s. u.) ist die zeitlich überwiegende Tätigkeit. Nicht zu den Erwerbstätigen rechnen Personen als Verwalter ihres Privatvermögens (z. B. Immobilien, Geldvermögen, Wertpapiere). Grundlage für diese Definition bilden die von der International Labour Organisation (ILO) aufgestellten Normen, die auch in das Europäische System Volkswirtschaftlicher Gesamtrechnungen (ESVG) 1995 eingegangen sind.Wirtschaftsfachliche Gliederung nach Wirtschaftssektoren und -bereichenDie sektorale Gliederung der Erwerbstätigen erfolgt auf der Grundlage der ""Klassifikation der Wirtschaftszweige, Ausgabe 2008"" (WZ 2008, NACE Rev. 2)Regionale BesonderheitenDa vom Arbeitskreis Erwerbstätigenrechnung des Bundes und der Länder die Daten regelmäßig gebietsbereinigt veröffentlicht werden, können infolge der Bildung der Region Hannover (2001), der Städteregion Aachen (2009) sowie der Gebietsreformen in Sachsen-Anhalt (2007), Sachsen (2008) und Mecklenburg-Vorpommern (2011) für die Kreisebene für die jeweils vor dem genannten Zeitpunkt liegenden Berichtsjahre keine Werte angezeigt werden.Weiterführende InformationenErwerbstätigeErwerbstätigenrechnungÜbersicht WirtschaftszweiggliederungRegionaldatenbank: Themenbereiche"
